A5PF59 zgc:77778 21.587 22.68 22.364 22.517 22.326 20.783 23.076 23.275 22.805 23.014 22.447 22.129 24.311 23.121 20.969 25.277 21.35 24.9 26.331 23.881 27.733 23.882 25.54 23.817 23.926 23.232 26.084 25.918 26.657 26.529 -2.5102 1.7475e-05
A5PF61 leg1a 23.08 23.112 23.101 23.008 21.874 22.268 22.331 24.126 24.983 23.732 19.854 20.183 25.051 25.194 25.399 23.096 23.051 23.172 22.825 25.375 24.424 24.311 26.98 25.527 25.044 24.681 26.459 26.463 26.773 26.444 -1.821933333 0.003918697
A7YT77 qdpra 22.552 22.944 22.93 23.063 23.121 26.385 21.417 25.537 25.012 25.166 25.103 20.429 20.269 24.403 23.086 28.122 28.757 28.732 27.009 27.433 27.37 27.756 27.138 27.311 27.182 27.227 27.747 27.861 28.099 28.073 -4.293333333 1.99184e-09
A8WHU6 scel 28.346 25.383 27.291 27.988 26.19 26.813 26.669 28.176 27.978 28.125 28.104 28.344 28.259 28.348 28.387 26.411 25.679 24.563 22.926 24.421 24.818 25.113 26.728 26.223 26.596 27.242 25.839 25.879 26.14 26.692 1.942066667 2.05698e-05
A9JRX1 and2 22.594 22.001 23.411 23.5 22.523 22.437 20.975 21.969 21.624 23.28 20.789 28.378 27.718 28.28 28.349 23.184 20.595 23.013 22.922 20.785 22.232 19.793 20.611 20.413 20.913 18.46 22.178 21.096 20.95 21.421 2.617466667 0.002822958
A9JSZ7 zgc:174259 21.759 23.415 22.246 22.643 24.376 23.909 24.503 25.163 19.447 24.829 24.698 21.337 22.303 24.45 22.21 22.612 24.267 22.913 22.559 25.434 24.989 25.636 25.864 25.911 26.037 26.773 24.911 25.184 25.317 25.142 -1.750733333 0.002717419
B0UYH4 fmodb 26.347 23.256 23.882 22.719 21.719 20.634 21.497 21.243 18.428 18.428 20.379 25.574 24.887 25.835 25.697 25.624 24.46 24.959 25.107 22.736 23.841 24.854 25.559 24.419 25.131 23.341 24.974 25.932 25.722 26.046 -2.145333333 0.006194642
B0V1K4 zgc:136930 24.861 25.117 25.931 24.952 30.748 30.322 30.441 31.115 30.968 30.921 31.179 28.29 28.964 28.38 28.32 31.018 30.736 31.088 30.911 31.856 31.859 31.854 32.085 31.885 31.88 31.785 30.767 30.763 30.73 30.816 -2.634933333 0.000303502
B3DHC5 apoa4b.2 22.343 21.444 22.277 21.882 23.762 25.487 25.656 24.786 24.975 24.537 24.939 26.357 25.925 25.6 25.617 26.539 25.683 27.666 27.967 27.585 27.315 27.212 27.452 27.243 27.074 27.015 28.371 27.901 28.214 28.183 -3.055533333 2.87818e-07
B7ZDB5 bgnb 20.796 23.843 24.027 21.826 22.179 20.644 21.794 20.663 19.612 19.613 19.638 21.172 20.882 20.924 20.993 22.963 22.895 22.745 22.319 21.323 21.877 20.351 20.647 24.545 22.62 24.281 28.185 28.386 27.994 27.95 -2.698333333 0.002497824
D6MUD3 col11a1b 21.871 21.974 23.48 20.997 21.224 22.071 21.868 20.808 23.777 20.205 21.825 23.263 23.593 23.529 23.668 25.642 22.887 22.798 22.752 24.083 24.619 24.687 24.773 24.955 25.171 25.38 23.988 24.459 23.804 24.401 -2.0164 1.5698e-05
E7F5I3 postna 24.602 25.337 24.393 24.743 23.345 23.997 25.906 26.744 26.071 26.573 26.715 26.694 26.688 26.638 26.839 25.41 23.708 27.254 26.605 28.41 28.281 28.361 29.055 29.097 29.508 29.167 29.391 29.065 29.53 29.373 -2.462 8.60788e-05
E7F5V5 and1 23.899 22.459 22.088 23.87 22.534 21.428 21.376 20.618 20.531 19.318 20.606 29.903 29.88 30.137 30.177 23.465 23.426 22.391 22.733 21.38 20.895 22.338 19.287 20.423 21.561 21.055 20.385 20.335 20.606 20.883 2.510733333 0.027474511
E7F7N0 LOC101884022 25.183 25.335 24.529 25.94 24.606 22.79 23.423 25.601 25.055 25.197 25.174 25.804 25.735 25.732 25.384 24.615 22.604 25.499 23.055 21.645 20.24 25.843 24.462 24.794 19.688 24.672 24.389 20.842 20.403 24.34 1.893133333 0.003054525
E7F812 LOC100331378 23.398 24.208 21.884 21.558 22.886 21.037 20.721 21.151 19.442 19.684 21.343 24.342 24.011 23.964 24.775 22.633 26.079 22.257 26.625 24.35 21.418 24.353 22.905 23.453 23.521 23.325 25.317 25.311 25.133 25.355 -1.842066667 0.004519576
